Group,Quarter,Year,Topic,Special,Word_Count,Graph_Count,Table_Count
1,WI,21,business and finance,False,7483,110,69
2,WI,21,family and relationships,False,3229,6,10
3,WI,21,business and finance,False,2329,11,2
4,WI,21,pop culture,False,4284,9,26
5,WI,21,video gaming,False,4013,31,6
6,WI,21,automotive,False,5779,22,18
7,WI,21,medical health,False,4106,8,10
9,WI,21,home and garden,False,3476,39,32
10,WI,21,sports,False,4936,19,9
11,WI,21,medical health,False,5892,19,55
13,WI,21,automotive,False,6842,27,28
15,WI,21,medical health,False,4670,12,18
16,WI,21,movies,False,5486,15,10
17,WI,21,medical health,False,2452,16,7
18,WI,21,medical health,False,3749,12,21
19,WI,21,medical health,False,5297,23,5
20,WI,21,news and politics,False,3720,10,9
21,WI,21,medical health,False,3359,12,7
22,WI,21,education,False,4209,17,17
23,WI,21,automotive,False,4642,5,10
24,WI,21,healthy living,False,2518,34,17
26,WI,21,video gaming,False,2923,24,12
28,WI,21,medical health,False,4565,21,12
29,WI,21,personal finance,False,2320,16,11
30,WI,21,medical health,False,8568,20,0
31,WI,21,medical health,False,4449,11,10
33,WI,21,automotive,False,5929,8,6
34,WI,21,careers,False,2798,9,2
37,WI,21,medical health,False,2309,16,0
38,WI,21,medical health,False,2777,10,4
39,WI,21,science,False,5618,25,15
42,WI,21,medical health,False,3646,17,8
46,WI,21,sports,False,4147,14,5
48,WI,21,religion and spirituality,False,2949,11,10
50,WI,21,technology and computing,False,6191,25,11
52,WI,21,video gaming,False,4821,13,20
54,WI,21,business and finance,False,3607,33,8
56,WI,21,business and finance,False,5572,13,15
58,WI,21,medical health,False,5136,11,13
59,WI,21,music and audio,False,4058,13,8
60,WI,21,technology and computing,False,2771,11,11
61,WI,21,family and relationships,False,2953,12,8
63,WI,21,medical health,False,4567,25,16
64,WI,21,music and audio,False,2939,6,6
65,WI,21,sports,False,4178,2,22
68,WI,21,news and politics,False,3605,0,5
71,WI,21,business and finance,False,2742,17,14
73,WI,21,medical health,False,1963,4,5
74,WI,21,travel,False,2908,17,2
75,WI,21,automotive,False,1853,9,9
76,WI,21,video gaming,False,3430,7,6
77,WI,21,business and finance,False,5996,25,6
78,WI,21,business and finance,False,3460,10,0
79,WI,21,travel,False,4931,10,20
80,WI,21,automotive,False,3331,18,17
82,WI,21,business and finance,False,3711,8,22
83,WI,21,medical health,False,7323,23,16
84,WI,21,medical health,False,3053,9,3
85,WI,21,personal finance,False,2755,8,13
86,WI,21,medical health,False,2936,26,8
87,WI,21,business and finance,False,2635,18,9
88,WI,21,family and relationships,False,3536,16,3
89,WI,21,events and attractions,False,4753,6,15
90,WI,21,events and attractions,False,3296,9,4
92,WI,21,personal finance,False,2657,12,8
